Unnamed: 0,NOME,FAZ,TAL,tipocorte,variedad,madurada,producto,dosismad,semsmad,edad,cortes,me,vejez,sacarosa,mes,periodo,TCH,lluvias,grupo_tenencia,pct_diatrea,Categoria_TCH,Categoria_Sacarosa
11,AMAIME SILCA,81291,40,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,8.3,12.3,4,12.7,2.4,14.0,12,202012,112,137,3,6.2,Bajo,Alto
12,AMAIME SILCA,81291,41,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.3,11.2,2,7.8,2.3,13.0,3,201903,157,0,3,3.5,Alto,Medio
13,AMAIME SILCA,81291,41,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.6,7.9,12.2,3,8.8,1.8,13.3,3,202003,167,68,3,4.3,Alto,Alto
15,AMAIME SILCA,81291,43,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.6,13.1,1,6.1,2.5,13.4,3,201903,156,0,3,3.5,Alto,Alto
16,AMAIME SILCA,81291,43,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.6,8.1,12.2,2,7.9,2.1,14.0,3,202003,151,68,3,4.3,Medio,Alto
22,ARANJUEZ,80552,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,7.6,12.8,1,8.2,12.3,12.8,1,201901,155,10,3,4.4,Alto,Medio
23,ARANJUEZ,80552,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.4,12.1,2,8.3,2.7,12.5,1,202001,115,8,3,4.4,Bajo,Medio
24,ARANJUEZ,80552,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.0,11.8,3,12.4,2.4,12.9,1,202101,146,134,3,4.4,Medio,Medio
25,ARANJUEZ,80552,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.9,12.2,2,10.4,12.5,12.6,1,202001,145,8,3,4.4,Medio,Medio
26,ARANJUEZ,80552,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.7,11.9,3,9.5,2.2,12.7,1,202101,138,119,3,4.4,Medio,Medio
28,ARANJUEZ,80552,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,7.7,12.4,1,12.1,4.1,12.5,1,201901,157,0,3,4.4,Alto,Medio
29,ARANJUEZ,80552,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.4,12.1,2,10.1,2.9,13.3,1,202001,116,8,3,4.4,Bajo,Alto
30,ARANJUEZ,80552,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.1,11.8,3,10.3,2.3,12.9,1,202101,155,134,3,4.4,Alto,Medio
31,ARANJUEZ,80552,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.7,12.1,2,10.7,8.3,12.3,1,202001,147,8,3,4.4,Medio,Bajo
32,ARANJUEZ,80552,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.0,12.0,3,9.6,2.9,12.7,1,202101,144,134,3,4.4,Medio,Medio
34,ARANJUEZ,80552,5,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.0,12.3,1,9.4,6.7,12.5,1,201901,147,0,3,4.4,Medio,Medio
35,ARANJUEZ,80552,5,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.6,12.0,2,7.5,2.0,13.3,1,202001,116,8,3,4.4,Bajo,Alto
36,ARANJUEZ,80552,5,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.3,11.8,3,11.2,2.2,13.1,1,202101,153,134,3,4.4,Medio,Medio
37,ARANJUEZ,80552,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,13.1,13.1,1,6.3,8.1,13.1,9,201709,151,0,3,7.7,Medio,Medio
38,ARANJUEZ,80552,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.3,12.0,4,9.2,3.5,12.9,9,202009,141,54,3,5.1,Medio,Medio
39,ARANJUEZ,80552,7,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,13.3,13.4,1,7.1,8.6,11.9,9,201709,139,0,3,7.7,Medio,Bajo
40,ARANJUEZ,80552,7,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.7,12.2,3,6.8,2.2,13.3,9,201909,152,0,3,3.7,Medio,Alto
41,ARANJUEZ,80552,7,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.4,11.7,4,8.1,2.3,13.7,9,202009,136,30,3,2.9,Medio,Alto
42,ARANJUEZ,80552,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,12.9,13.9,1,5.9,3.7,13.6,9,201709,138,0,3,11.0,Medio,Alto
43,ARANJUEZ,80552,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.1,11.9,3,11.0,8.2,12.9,9,201909,155,0,3,4.4,Alto,Medio
44,ARANJUEZ,80552,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.9,12.2,4,7.1,3.2,12.9,9,202009,130,54,3,1.3,Bajo,Medio
45,ARANJUEZ,80552,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,13.0,13.8,1,4.4,2.4,13.3,9,201709,155,0,3,7.7,Alto,Alto
46,ARANJUEZ,80552,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.7,11.8,2,8.9,2.3,12.6,9,201809,157,113,3,4.1,Alto,Medio
47,ARANJUEZ,80552,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,8.3,12.0,3,6.5,13.7,12.1,9,201909,150,0,3,3.7,Medio,Bajo
48,ARANJUEZ,80552,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.4,12.0,4,8.0,2.3,13.0,9,202009,127,54,3,1.9,Bajo,Medio
50,ARANJUEZ,80552,10,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.0,12.6,1,9.5,6.8,13.0,11,201811,176,135,3,4.4,Alto,Medio
51,ARANJUEZ,80552,10,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.0,14.0,2,9.6,2.6,12.0,1,202001,173,8,3,4.4,Alto,Bajo
52,ARANJUEZ,80552,10,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.1,11.9,3,8.2,2.9,12.8,1,202101,139,119,3,4.4,Medio,Medio
53,ARANJUEZ,80552,11,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.1,12.5,1,9.7,4.1,13.1,11,201811,183,135,3,4.4,Alto,Medio
54,ARANJUEZ,80552,11,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.1,14.0,2,9.4,2.7,12.4,1,202001,169,8,3,4.4,Alto,Bajo
55,ARANJUEZ,80552,12,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.3,12.5,1,9.2,7.4,13.7,11,201811,160,135,3,4.4,Alto,Alto
56,ARANJUEZ,80552,12,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.3,14.0,2,8.9,2.0,12.5,1,202001,176,8,3,4.4,Alto,Medio
